https://ikman.lk//en/ad/kia-sportage-2010-for-sale-colombo-111,Kia Sportage 2010,27 Mar 11:49 am,Malabe, Colombo,5390000,Kia,Sportage,Kia,2010,Used,Tiptronic,SUV / 4x4,Petrol,"2,000 cc","107,500 km","['<p>Kia sportage 2010 ,2nd onwer ,alloy wheels , reverse camera,multifuction steering wheel ,all 4 new tyres , fog lights , original cd player ,accidents free,mint condition</p>']"
https://ikman.lk//en/ad/honda-fit-shuttle-gp2-nevi-premium-2014-for-sale-gampaha,Honda Fit Shuttle GP2 NevI Premium 2014,19 Mar 11:56 am,Negombo, Gampaha,4595000,Honda,Fit Shuttle,GP2 NevI Premium,2014,Used,Automatic,Hatchback,Hybrid,"1,339 cc","87,000 km","['<p>Honda fit shuttle ', 'Nevi premium  2014/2018', 'Full option silver colour ', 'Paddle shift intelligent smart key push start dual multi function cruise control fog lights auto stop system half leather sheets dual sheets heater orginal audio set Aloywheel new tires acsident free 87000km', '1st owner</p>']"
https://ikman.lk//en/ad/mazda-demio-aletta-2001-for-sale-colombo-1,Mazda Demio Aletta 2001,27 Mar  2:04 pm,Kohuwala, Colombo,2190000,Mazda,Demio,Aletta,2001,Used,Automatic,Hatchback,Petrol,"1,500 cc","115,000 km",['<p>Mazda Demio Aletta (Sport model)</p>']
https://ikman.lk//en/ad/honda-vezel-z-grade-2014-for-sale-colombo-1745,Honda Vezel Z Grade 2014,27 Mar  2:02 pm,Nugegoda, Colombo,5375000,Honda,Vezel,Z Grade,2014,Used,Automatic,Hatchback,Hybrid,"1,500 cc","103,000 km","['<p>2nd owner, Black color, maintenance done from Stafford motors &amp; all records are available. With good condition.</p>']"
https://ikman.lk//en/ad/toyota-axio-g-grade-2015-for-sale-colombo-885,Toyota Axio G Grade 2015,27 Mar  2:01 pm,Kotte, Colombo,5390000,Toyota,Axio,Axio G Grade,2015,Used,Automatic,Saloon,Hybrid,"1,500 cc","92,000 km","['<p>Axio Hybrid G Grade , Manufacture 2015 , 1 st Owner , Hybrid Battery Replaced 2 Weeks Ago With Warrenty , ABS Replaced Last Week With Warrenty , Rear Shocks Replaced , New Tyres With Alloy Wheels , Push Start , Dual Maltifunction , Rear Wipper , Buffer Fog Lamps , 100% Accident Free , Genuine Buyers Only</p>']"
https://ikman.lk//en/ad/honda-vezel-z-sensesing-safety-2017-for-sale-colombo,Honda Vezel Z Sensesing Safety 2017,27 Mar  2:01 pm,Kohuwala, Colombo,7350000,Honda,Vezel,Z Sensesing Safety,2017,Reconditioned,Automatic,SUV / 4x4,Petrol,"1,500 cc","48,000 km","['<p>Honda vezel Z Sensesing', 'Year of manufacture 2017 ', '1st owner', '48000km only done ', 'Z Grade', 'Safety package', 'Orange package', 'Pearl white colour', 'Vehicle is in excellent condition', 'Fully loaded', 'Many more options', 'Call for more information</p>']"
https://ikman.lk//en/ad/suzuki-a-star-auto-2012-for-sale-colombo-13,Suzuki A-Star Auto 2012,27 Mar  1:59 pm,Kohuwala, Colombo,2850000,Suzuki,A-Star,Auto,2012,Used,Automatic,Hatchback,Petrol,"1,000 cc","86,000 km",['<p>Suzuki A-Star</p>']
https://ikman.lk//en/ad/toyota-vitz-safety-edition-2018-for-sale-matara-1,Toyota Vitz Safety Edition 2018,27 Mar  1:57 pm,Matara, Matara,5300000,Toyota,Vitz,Safety Edition,2018,Used,Automatic,Hatchback,Petrol,"1,000 cc","30,000 km",['<p>::::::::: Toyota Company Maintenance Record Available :::::::</p>']
https://ikman.lk//en/ad/honda-fit-gp5-2014-for-sale-colombo-1932,Honda Fit Gp5 2014,20 Mar 10:20 am,Kaduwela, Colombo,4690000,Honda,Fit,Gp5,2014,Used,Automatic,Station wagon,Hybrid,"1,500 cc","54,000 km","['<p>Gp5 S Limited Fully loaded,Done 54000Km,', 'City auto brake system,8 Air bags,', 'Carefully used,Original condition,', 'Highest offer.</p>']"
https://ikman.lk//en/ad/peugeot-5008-allure-premium-2019-for-sale-colombo,Peugeot 5008 Allure premium 2019,27 Mar  1:54 pm,Kohuwala, Colombo,16500000,Peugeot,5008,Allure premium,2019,Used,Tiptronic,SUV / 4x4,Petrol,"1,200 cc","7,000 km","['<p>Peouget 5008 Allure . 2019. Black leather electric memory massage 7seater. Panaromic sliding roof.', 'Premium sound system. 360camera. Power tail door.', 'Flat bottom steering. EXCHANGE POSSIBLE</p>']"
https://ikman.lk//en/ad/toyota-land-cruiser-prado-120-2006-for-sale-colombo-7,Toyota Land Cruiser Prado 120 2006,26 Mar 12:08 pm,Colombo 4, Colombo,9190000,Toyota,Land Cruiser Prado,120,2006,Used,Manual,SUV / 4x4,Diesel,"3,000 cc","280,000 km","['<p>7 SEATERS ', 'BRAND NEW', 'MANUAL GEARS / DIESEL', '2006', 'JAPAN', 'JBL SPEAKERS &amp; SUB WOOFER', 'TV/DVD', 'REVERSE CAMERA', 'A/C POWER STEERING', 'SECOND REGISTERED OWNER', 'EXTRA SPORTS CELL AVAILABLE', '5L ENGINE', 'EXCELLENT CONDITION', 'INSPECTION ON APPOINTMENTS', 'GENUINE BUYERS ONLY</p>']"
https://ikman.lk//en/ad/peugeot-5008-gt-line-2017-for-sale-matara,Peugeot 5008 GT Line 2017,26 Mar  4:51 pm,Matara, Matara,14000000,Peugeot,5008,GT Line,2017,Used,Manual,SUV / 4x4,Petrol,"1,200 cc","42,000 km",['<p>💥peugeot 5008 GT Line SUV 4x4</p>']
https://ikman.lk//en/ad/peugeot-5008-allure-premium-2019-for-sale-colombo,Peugeot 5008 Allure premium 2019,27 Mar  1:54 pm,Kohuwala, Colombo,16500000,Peugeot,5008,Allure premium,2019,Used,Tiptronic,SUV / 4x4,Petrol,"1,200 cc","7,000 km","['<p>Peouget 5008 Allure . 2019. Black leather electric memory massage 7seater. Panaromic sliding roof.', 'Premium sound system. 360camera. Power tail door.', 'Flat bottom steering. EXCHANGE POSSIBLE</p>']"
https://ikman.lk//en/ad/toyota-land-cruiser-prado-120-2006-for-sale-colombo-7,Toyota Land Cruiser Prado 120 2006,26 Mar 12:08 pm,Colombo 4, Colombo,9190000,Toyota,Land Cruiser Prado,120,2006,Used,Manual,SUV / 4x4,Diesel,"3,000 cc","280,000 km","['<p>7 SEATERS ', 'BRAND NEW', 'MANUAL GEARS / DIESEL', '2006', 'JAPAN', 'JBL SPEAKERS &amp; SUB WOOFER', 'TV/DVD', 'REVERSE CAMERA', 'A/C POWER STEERING', 'SECOND REGISTERED OWNER', 'EXTRA SPORTS CELL AVAILABLE', '5L ENGINE', 'EXCELLENT CONDITION', 'INSPECTION ON APPOINTMENTS', 'GENUINE BUYERS ONLY</p>']"
https://ikman.lk//en/ad/toyota-premio-g-superior-2017-for-sale-colombo-291,Toyota Premio G -SUPERIOR 2017,25 Mar 11:18 am,Maharagama, Colombo,9190000,Toyota,Premio,G -SUPERIOR,2017,Used,Automatic,Saloon,Petrol,"1,500 cc","60,000 km","['<p>Used by a doctor', 'First Registered owner,', '2017 December', 'Low Mileage', 'BEIGE INTERIOR', 'ELECTRIC SEAT', 'REAR VIPER ', 'ORIGINAL DOOR MOLDINGS', 'DUAL MULTI FUNCTION', 'FOG LIGHTS', 'TEAK INTERIOR ', 'ORIGINAL CARPETS AND DOOR VISORS ', 'WELCOME LIGHTS</p>']"
https://ikman.lk//en/ad/toyota-axio-g-grade-hybrid-2015-for-sale-colombo-34,Toyota Axio G Grade Hybrid 2015,26 Mar  1:50 pm,Kottawa, Colombo,5575000,Toyota,Axio,G Grade Hybrid,2015,Used,Automatic,Saloon,Hybrid,"1,500 cc","85,000 km",['<p>USED TOYOTA AXIO HYBRID</p>']
https://ikman.lk//en/ad/toyota-land-cruiser-prado-tx-limited-auto-2007-for-sale-colombo-2,Toyota Land Cruiser Prado TX limited auto 2007,27 Mar  1:51 pm,Kohuwala, Colombo,9750000,Toyota,Land Cruiser Prado,TX limited auto,2007,New,Automatic,SUV / 4x4,Petrol,"2,700 cc","118,000 km",['<p>2007 toyota land cruiser prado petrol TX limited. Padded stearing wheel and gear knob. Teak dash board. sunroof toyota lanka maintaind 118000km. 2nd owner. Tv dvd camera alloys. New tyres. New battery. Crash bar roof railng roof bars. Air bags abs illumination dash board. Nicle inner handles.</p>']
https://ikman.lk//en/ad/nissan-sunny-fb15-ex-saloon-1999-for-sale-matara-3,Nissan Sunny FB15 EX Saloon 1999,27 Mar  1:51 pm,Matara, Matara,2475000,Nissan,Sunny,FB15 EX Saloon,1999,Used,Automatic,Saloon,Petrol,"1,500 cc","95,000 km",['<p>❤️NISSAN SUNNY FB15 EX SALOON 1999</p>']
https://ikman.lk//en/ad/suzuki-spacia-hybrid-safety-2019-for-sale-colombo-9,Suzuki Spacia Hybrid Safety 2019,27 Mar  1:50 pm,Boralesgamuwa, Colombo,5000000,Suzuki,Spacia,Hybrid Safety,2019,New,Automatic,Hatchback,Hybrid,650 cc,"1,800 km",['<p>2019 SUZUKI SPACIA HYBRID</p>']
https://ikman.lk//en/ad/suzuki-spacia-custom-z-turbo-2017-for-sale-kegalle-14,Suzuki Spacia Custom Z Turbo 2017,24 Mar  7:18 am,Mawanella, Kegalle,4075000,Suzuki,Spacia,Custom Z Turbo,2017,Used,Automatic,Hatchback,Hybrid,650 cc,"24,000 km",['<p>Suzuki Spacia Custom Z Turbo 2017</p>']
https://ikman.lk//en/ad/suzuki-escudo-grand-vitara-auto-1999-for-sale-colombo,Suzuki Escudo grand vitara auto 1999,27 Mar  1:49 pm,Kohuwala, Colombo,2990000,Suzuki,Escudo,grand vitara auto,1999,New,Automatic,SUV / 4x4,Petrol,"2,000 cc","160,000 km",['<p>Suzuki grand vitara escudo . Full option auto. Anaroid sound system. New tyres. Alloy wheels  body kit. Reverse camera. Good condition. Ideal for family use.</p>']
https://ikman.lk//en/ad/honda-crv-australian-spec-2018-for-sale-colombo-5,Honda CRV Australian Spec 2018,27 Mar  1:49 pm,Kohuwala, Colombo,12690000,Honda,CRV,Australian Spec,2018,Used,Automatic,SUV / 4x4,Petrol,"1,500 cc","48,000 km","['<p>Honda CRV Australian Spec 2018', 'Pearl White Colour', 'Black Leather Interior', 'Push Start', 'Auto Brake System', 'Lane Departure', 'Cruise Control', 'Dual Multifunction Steering', '360• Surrounding Sensors', 'Electric Seats', '7 Seater ', 'Dual A/C', 'Panaric Sunroof', 'Alloy Wheels', 'Fully loaded ', 'Company Maintained', 'All Records Available', 'Mint Condition', 'Quick Sale</p>']"
